question,answer
Cửa hàng mở cửa mấy giờ?,"Cửa hàng mở cửa từ 8h00 đến 21h30 tất cả các ngày trong tuần, kể cả cuối tuần và ngày lễ."
Shop có giao hàng không?,"Dạ có ạ. Shop giao hàng toàn quốc qua Giao Hàng Nhanh và Viettel Post, thời gian 2-4 ngày tuỳ khu vực."
Phí ship bao nhiêu?,"Phí ship nội thành là 20.000đ, ngoại thành và tỉnh là 30.000đ. Đơn từ 500.000đ được miễn phí ship."
Có thể đổi trả hàng không?,"Shop hỗ trợ đổi trả trong vòng 7 ngày nếu sản phẩm còn nguyên tem mác và chưa qua sử dụng."
Thanh toán bằng cách nào?,"Bạn có thể thanh toán khi nhận hàng (COD), chuyển khoản ngân hàng, hoặc qua ví Momo/ZaloPay."
Làm sao để kiểm tra đơn hàng?,"Bạn cho shop xin mã đơn hàng hoặc số điện thoại đặt hàng, shop sẽ kiểm tra và báo bạn ngay nhé."
Sản phẩm có bảo hành không?,"Sản phẩm được bảo hành chính hãng 12 tháng. Bạn giữ lại hoá đơn để được hỗ trợ bảo hành nhé."
Shop có chi nhánh ở đâu?,"Shop có 2 chi nhánh: 123 Nguyễn Trãi, Quận 1, TP.HCM và 45 Cầu Giấy, Hà Nội."
Có được xem hàng trước khi trả tiền không?,"Dạ có, shop hỗ trợ đồng kiểm - bạn được mở kiểm tra hàng trước khi thanh toán cho shipper."
Đặt hàng như thế nào?,"Bạn nhắn tên sản phẩm, số lượng, tên người nhận, số điện thoại và địa chỉ. Shop sẽ chốt đơn và báo tổng tiền cho bạn."
