question,answer
Khách đến từ tin nhắn,"Chào chị, cảm ơn chị đã ghé thăm và quan tâm đến sản phẩm của shop!
 Bộ đồ chị đang quan tâm đang SALE 50% giá chỉ còn 129k/SET DUY NHẤT hôm nay, MIỄN SHIP từ 2 bộ.
 Chị cho em xin thông tin CHIỀU CAO + CÂN NẶNG em tư vấn size cho mình nhé ạ ❤️"
1m55 57kg mặc size gì?,Dạ chị 1m55 57kg mặc size L là chuẩn form nhé ạ
Sai số điện thoại/ địa chỉ,"Dạ chị ơi bên vận chuyển báo thông tin số điện thoại/ địa chỉ của chị bị sai, chị kiểm tra lại và báo bên em nhé ạ?"
Khách đến từ bình luận,Chị yêu kiểm tra tin nhắn shop báo giá và tư vấn kỹ hơn cho mình nha!
Gửi mẫu,Dạ em gửi chị yêu ảnh mẫu chị tham khảo ạ
Chưa có ai giao hàng,Dạ để em check và giục bên vận chuyển giao hàng sớm cho chị ạ!
Gửi màu,"Bộ này có 3 màu: Xanh, Đỏ, Tím. Em gửi chị ảnh màu chị tham khảo ạ"
Không muốn nhận hàng nữa,"Dạ chị ơi đơn hàng từ xa tới bên em mất nhiều chi phí gửi hàng, chị thông cảm nhận đơn giúp em với được không ạ? Em hỗ trợ giảm thêm 20k đơn hàng này cho chị, mình nhận hàng giúp em với nha"
Thông tin về size,"Dạ em gửi chị bảng size đính kèm, chị cho em xin chiều cao cân nặng em tư vấn size cho mình nhé ạ!"
Chất vải gì?,"Dạ set này có chất liệu ... đanh mát mặc siêu thoải mái, chất vải bền không bị sờn mốc, bai nhão theo thời gian đâu ạ!"
Hàng về chậm,"Dạ em rất xin lỗi chị vì đơn hàng bị giao chậm trễ thế này, số lượng khách order nhiều nên tắc biên, hàng về bị chậm trễ chút mong chị yêu thông cảm, hàng về em ưu tiên gửi luôn cho mình nhé ạ!"
Chất vải có co dãn không?,"- Dạ chất vải này có độ co dãn, mặc rất thoải mái tôn dáng ạ. Mình vận động hay ngồi lâu cũng không bị gò bó đâu ạ!
 - Dạ chất vải này tuy không co dãn nhưng vải mềm và thoáng, mặc lên nhìn rất gọn gàng và sang, lên form rất đẹp chị ạ!"
